phrase	Frequency Level	Rank	Frequency <br> (per million words)	Spoken general	Written general	Written academic	Example sentence
HAVE TO	1-K	107	83092	★★★	★★★	★★	I exercise because I have to.
THERE IS	1-K	165	59833	★★★	★★★	★★★	There are some problems.
THERE ARE	1-K	165	59833	★★★	★★★	★★★	There are some problems.
SUCH AS	1-K	415	30857	★★	★★★	★★★	"We have questions, such as how it happened."
GOING TO	1-K	463	28259	★★★	★★★	–	I’m going to think about it.
OF COURSE	1-K	483	26966	★★★	★★★	★	He said he’d come of course.
A FEW	1-K	489	26451	★★★	★★★	★★	"After a few drinks, she started to dance."
AT LEAST	1-K	518	25034	★★★	★★★	★★★	"Well, you could email me at least."
SUCH A	1-K	551	23894	★★★	★★★	★★	She had such a strange sense of humor. 
SUCH AN	1-K	551	23894	★★★	★★★	★★	She had such a strange sense of humor. 
I MEAN	1-K	556	23616	★★★	–	–	"It’s fine, but, I mean, is it worth the price?"
A LOT	1-K	598	22332	★★★	★★	–	They go camping a lot in the summer.
RATHER THAN	1-K	631	21085	★★★	★★★	★★★	"Children, rather than adults, tend to learn quickly."
SO THAT	1-K	635	20966	★★★	★★★	★★	Park it so that the wheels are curbed.
A LITTLE	1-K	655	20296	★★★	★★★	★★	I like to work out a little before dinner.
A BIT	1-K	674	19618	★★★	★★★	–	There was a bit of drama today at the office.
A BIT OF	1-K	674	19618	★★★	★★★	–	There was a bit of drama today at the office.
AS WELL AS	1-K	717	18041	★★★	★★★	★★★	She jogs as well as swims. 
IN FACT	1-K	803	15983	★★★	★★★	★★★	"The researchers tried several approaches, in fact."
LIKELY TO	1-K	807	15854	★★★	★★★	★★★	"To be honest, I’m likely to forget."
GO ON	1-K	825	15610	★★★	★★★	★★	He went on for a while before stopping for lunch.
IS TO 	1-K	845	15232	–	★★★	–	Obama is to address the media this afternoon.
A NUMBER OF	1-K	854	15090	★★★	★★★	★★★	A number of concerns were raised.
AT ALL	1-K	879	14650	★★★	★★★	★★★	Do you have any kids at all?
AS IF	1-K	888	14470	★★★	★★★	–	They walked together as if no time had passed.
USED TO	1-K	892	14411	★★★	★★	–	It used to snow much more often.
WAS TO 	1-K	894	14366	–	★★★	★★★	The message was to be transmitted worldwide.
NOT ONLY	1-K	908	14110	★★★	★★★	★★★	"Not only was it cheap, it was delicious."
THOSE WHO	1-K	913	13951	–	★★★	★★★	He would defend those who had no voice.
DEAL WITH	1-K	934	13634	★★★	★★★	★★★	The police had several issues to deal with.
LEAD TO	1-K	939	13555	★★	★★★	★★★	Excessive smoking can lead to heart disease.
SORT OF	1-K	951	13361	★★★	–	–	It’s sort of why I’m here.
THE FOLLOWING	1-K	974	12963	–	★★	★★★	He made the following remarks.
IN ORDER TO	1-K	984	12762	★★★	★★★	★★★	We shared a room in order to reduce costs
HAVE GOT	1-K	988	12734	★★★	★★	–	I don’t know what he has got planned.
HAVE GOT TO	2-K	1033	12270	★★★	★★★	–	You have got to try this salad.
SET UP	2-K	1079	11560	★★★	★★★	★★★	The whole thing was set up beforehand.
AS TO	2-K	1082	11535	★★	★★★	★★★	There was some confusion as to its whereabouts.
AS WELL	2-K	1083	11519	★★★	★★★	★★★	I like it as well.
BASED ON	2-K	1088	11440	★★★	★★★	★★★	"Based on the reports, it seems it was an accident."
CARRY OUT	2-K	1146	10753	★★	★★★	★★★	It was not as easy to carry out without funding.
TAKE PLACE	2-K	1169	10556	★★★	★★★	★★★	No one was sure exactly why it took place there.
TEND TO	2-K	1175	10504	★★★	★★★	★★★	I tend to think it’s actually a political matter.
